## Values
## High Speed = 5000
## Low Speed = 300
## Acceleration = 800
## Deceleration = 300
## Position = 0
## Idle Time = 1
## Accel/Decel profile = Sinusoidal
## Dwell time = 0.0
## Length = 500
## Cycles = 3


1666288255.235485	0
1666288255.239599	0
1666288255.241618	0
1666288255.255458	0
1666288255.259304	-2
1666288255.263386	-3
1666288255.267887	-4
1666288255.271749	-5
1666288255.275851	-7
1666288255.279936	-8
1666288255.284026	-9
1666288255.288179	-10
1666288255.292156	-12
1666288255.296380	-13
1666288255.300608	-14
1666288255.304718	-16
1666288255.308866	-17
1666288255.313022	-19
1666288255.317137	-20
1666288255.321193	-22
1666288255.325316	-23
1666288255.329582	-25
1666288255.333784	-26
1666288255.337928	-28
1666288255.342064	-30
1666288255.346088	-31
1666288255.350197	-33
1666288255.354486	-35
1666288255.358554	-37
1666288255.362806	-39
1666288255.366927	-41
1666288255.370991	-43
1666288255.375041	-45
1666288255.379102	-47
1666288255.383255	-49
1666288255.387567	-51
1666288255.391759	-54
1666288255.395931	-56
1666288255.399987	-59
1666288255.403970	-61
1666288255.408255	-64
1666288255.412277	-67
1666288255.416621	-69
1666288255.420544	-72
1666288255.424911	-75
1666288255.429055	-78
1666288255.432972	-81
1666288255.437139	-85
1666288255.441562	-88
1666288255.445538	-91
1666288255.449610	-95
1666288255.453765	-98
1666288255.457837	-102
1666288255.462164	-105
1666288255.466347	-109
1666288255.470541	-113
1666288255.474481	-117
1666288255.478749	-121
1666288255.483011	-125
1666288255.487123	-129
1666288255.491490	-133
1666288255.495634	-137
1666288255.499735	-141
1666288255.503789	-145
1666288255.508036	-150
1666288255.512234	-154
1666288255.516492	-158
1666288255.520590	-163
1666288255.524654	-167
1666288255.528727	-172
1666288255.533085	-176
1666288255.537060	-181
1666288255.541410	-185
1666288255.545552	-190
1666288255.549582	-194
1666288255.553751	-199
1666288255.558137	-204
1666288255.562315	-208
1666288255.566514	-213
1666288255.570525	-218
1666288255.574753	-222
1666288255.578846	-227
1666288255.583161	-232
1666288255.587322	-237
1666288255.591469	-241
1666288255.595511	-246
1666288255.599856	-251
1666288255.604015	-256
1666288255.608258	-260
1666288255.612417	-265
1666288255.616385	-270
1666288255.620550	-275
1666288255.624906	-279
1666288255.628967	-284
1666288255.633351	-289
1666288255.637368	-294
1666288255.641551	-298
1666288255.645922	-303
1666288255.650109	-308
1666288255.654248	-312
1666288255.658259	-317
1666288255.662402	-321
1666288255.666819	-326
1666288255.670984	-330
1666288255.674978	-335
1666288255.679149	-339
1666288255.683267	-344
1666288255.687468	-348
1666288255.691640	-352
1666288255.695853	-357
1666288255.700127	-361
1666288255.704271	-365
1666288255.708442	-369
1666288255.712563	-373
1666288255.716920	-377
1666288255.720934	-381
1666288255.725127	-385
1666288255.729307	-389
1666288255.733593	-393
1666288255.737727	-397
1666288255.741946	-400
1666288255.746049	-404
1666288255.750281	-407
1666288255.754587	-411
1666288255.758763	-414
1666288255.762785	-418
1666288255.767028	-421
1666288255.771305	-424
1666288255.775394	-427
1666288255.779615	-430
1666288255.783712	-433
1666288255.787883	-436
1666288255.792090	-438
1666288255.796314	-441
1666288255.800640	-443
1666288255.804842	-446
1666288255.808878	-448
1666288255.813037	-451
1666288255.817261	-453
1666288255.821400	-455
1666288255.825697	-457
1666288255.829785	-459
1666288255.834141	-461
1666288255.838319	-463
1666288255.842509	-465
1666288255.846664	-467
1666288255.850667	-469
1666288255.854863	-471
1666288255.859018	-472
1666288255.863357	-474
1666288255.867439	-476
1666288255.871619	-477
1666288255.875878	-479
1666288255.879994	-480
1666288255.884337	-482
1666288255.888523	-483
1666288255.892591	-485
1666288255.896760	-486
1666288255.901086	-487
1666288255.905044	-489
1666288255.909470	-490
1666288255.913482	-491
1666288255.917785	-493
1666288255.922007	-494
1666288255.926235	-495
1666288255.930326	-497
1666288255.934491	-498
1666288255.938671	-499
1666288255.942843	-500
1666288255.947140	-500
1666288255.949356	-500
1666288255.963318	-499
1666288255.967335	-498
1666288255.971520	-497
1666288255.975549	-496
1666288255.979765	-494
1666288255.984072	-493
1666288255.988276	-492
1666288255.992499	-491
1666288255.996568	-489
1666288256.000914	-488
1666288256.004973	-486
1666288256.009228	-485
1666288256.013258	-484
1666288256.017445	-482
1666288256.021690	-481
1666288256.025974	-479
1666288256.030229	-478
1666288256.034304	-476
1666288256.038572	-475
1666288256.042747	-473
1666288256.046981	-471
1666288256.051123	-470
1666288256.055171	-468
1666288256.059357	-466
1666288256.063529	-464
1666288256.067751	-462
1666288256.071946	-460
1666288256.076187	-458
1666288256.080423	-456
1666288256.084560	-454
1666288256.088794	-452
1666288256.092986	-450
1666288256.097076	-447
1666288256.101356	-445
1666288256.105516	-442
1666288256.109670	-440
1666288256.113915	-437
1666288256.118018	-435
1666288256.122290	-432
1666288256.126462	-429
1666288256.130588	-426
1666288256.134733	-423
1666288256.138926	-420
1666288256.143222	-417
1666288256.147338	-413
1666288256.151637	-410
1666288256.155865	-406
1666288256.159920	-403
1666288256.164057	-399
1666288256.168252	-396
1666288256.172606	-392
1666288256.176847	-388
1666288256.180817	-384
1666288256.185017	-380
1666288256.189386	-376
1666288256.193579	-372
1666288256.197525	-368
1666288256.201763	-364
1666288256.205977	-360
1666288256.210305	-356
1666288256.214489	-351
1666288256.218621	-347
1666288256.222689	-343
1666288256.226843	-338
1666288256.231183	-334
1666288256.235230	-329
1666288256.239429	-325
1666288256.243571	-320
1666288256.247920	-316
1666288256.252143	-311
1666288256.256162	-307
1666288256.260519	-302
1666288256.264560	-297
1666288256.268703	-292
