1666898914.499056	28.232079	0
1666898914.517479	375.090333	-1
1666898914.527377	567.762030	-2
1666898914.537294	758.783305	-6
1666898914.547245	947.491975	-12
1666898914.557251	1134.199354	-20
1666898914.567276	1316.290843	-30
1666898914.577356	1492.433031	-41
1666898914.587265	1663.704667	-55
1666898914.597238	1827.928090	-70
1666898914.607229	1984.137313	-87
1666898914.617227	2132.392404	-106
1666898914.627182	2273.120442	-126
1666898914.637247	2404.925225	-147
1666898914.647278	2527.096861	-170
1666898914.657283	2639.878027	-195
1666898914.667306	2741.597604	-220
1666898914.677310	2833.014760	-247
1666898914.687348	2912.503451	-275
1666898914.697367	2980.678038	-303
1666898914.707492	3037.944509	-333
1666898914.717523	3082.158908	-363
1666898914.727584	3114.438964	-393
1666898914.737460	3134.252571	-424
1666898914.747612	3141.528593	-455
1666898914.757601	3136.542137	-487
1666898914.767642	3118.911387	-518
1666898914.777520	3089.403127	-550
1666898914.787607	3047.289767	-581
1666898914.797638	2993.196003	-612
1666898914.807666	2926.990874	-642
1666898914.817647	2849.350810	-672
1666898914.827750	2760.449771	-701
1666898914.837755	2659.730533	-730
1666898914.847795	2549.757730	-757
1666898914.857804	2429.492775	-784
1666898914.867881	2299.117950	-809
1666898914.877879	2159.517773	-833
1666898914.887982	2010.585671	-856
1666898914.898032	1853.932245	-878
1666898914.908055	1691.129027	-897
1666898914.918086	1520.779114	-916
1666898914.928155	1341.850905	-932
1666898914.938258	1163.896317	-947
1666898914.948205	973.176522	-960
1666898914.958434	784.535801	-972
1666898914.968273	592.747410	-981
1666898914.978208	398.806358	-988
1666898914.988206	203.607161	-994
1666898914.998312	3.986145	-998
1666898915.004864	128.744233	-999
1666898915.029163	601.798690	-999
1666898915.039124	793.905988	-997
1666898915.049130	982.707135	-991
1666898915.059207	1166.470562	-982
1666898915.069275	1350.066527	-972
1666898915.079497	1530.899128	-960
1666898915.089186	1694.471143	-946
1666898915.099204	1857.934465	-930
1666898915.109242	2013.780596	-913
1666898915.119299	2162.148218	-894
1666898915.129315	2301.438611	-873
1666898915.139350	2431.714145	-851
1666898915.149330	2551.744005	-828
1666898915.159366	2661.607332	-803
1666898915.169457	2761.832627	-778
1666898915.179475	2850.825745	-751
1666898915.189536	2928.085342	-723
1666898915.199761	2995.436024	-694
1666898915.209515	3048.034480	-665
1666898915.219601	3090.043570	-634
1666898915.229613	3119.538672	-604
1666898915.239657	3136.705119	-573
1666898915.249722	3141.511133	-541
1666898915.259775	3133.708493	-510
1666898915.269598	3113.979534	-479
1666898915.279625	3081.687863	-447
1666898915.289574	3037.694993	-416
1666898915.299590	2980.967851	-385
1666898915.309722	2912.335823	-355
1666898915.319740	2832.412409	-325
1666898915.329786	2740.463933	-296
1666898915.339758	2638.361489	-268
1666898915.349849	2526.355749	-241
1666898915.359887	2401.141993	-214
1666898915.369812	2269.801044	-189
1666898915.380079	2127.026343	-166
1666898915.389908	1981.534588	-143
1666898915.399912	1822.741847	-122
1666898915.409960	1659.127277	-102
1666898915.419938	1487.025863	-84
1666898915.429957	1310.557851	-68
1666898915.439963	1128.540097	-54
1666898915.449907	942.604314	-41
1666898915.459859	753.557703	-30
1666898915.469898	560.692525	-21
1666898915.479855	366.164277	-14
1666898915.489783	170.788259	-9
1666898915.499708	24.740207	-6
1666898915.509603	221.463788	-4
1666898915.519668	416.408049	-4
1666898915.529426	610.798623	-1
1666898915.539352	0.000000	0
1666898915.557626	356.697517	-1
1666898915.567545	550.826436	-1
1666898915.577276	740.182190	-5
1666898915.587500	931.369827	-11
1666898915.597323	1113.403293	-19
1666898915.607340	1296.813141	-28
1666898915.617186	1475.255546	-40
1666898915.627260	1646.207655	-53
1666898915.637320	1810.320466	-68
1666898915.647173	1967.955240	-85
1666898915.657327	2116.545001	-104
1666898915.667300	2259.869872	-124
1666898915.677350	2392.498407	-145
1666898915.687427	2516.251250	-168
1666898915.697269	2631.110139	-192
1666898915.707290	2731.331505	-218
1666898915.717270	2823.244328	-244
1666898915.727336	2904.432085	-272
1666898915.737346	2973.746459	-300
1666898915.747423	3031.831615	-330
1666898915.757455	3077.937159	-360
1666898915.767494	3111.496303	-390
1666898915.777552	3132.661278	-421
1666898915.787610	3141.357078	-452
1666898915.797607	3137.584726	-484
1666898915.807490	3121.644746	-515
1666898915.817493	3093.423676	-546
1666898915.827687	3052.339232	-577
1666898915.837516	3000.071528	-608
1666898915.847549	2935.823439	-639
1666898915.857632	2858.871439	-669
1666898915.867637	2771.127498	-698
1666898915.877750	2672.574875	-727
1666898915.887774	2563.019156	-754
1666898915.897788	2443.423461	-781
1666898915.907733	2314.306553	-806
1666898915.917786	2175.552615	-831
1666898915.927784	2028.706943	-854
1666898915.937813	1874.406827	-875
1666898915.947892	1711.444979	-895
1666898915.957896	1541.752903	-914
1666898915.967990	1366.408686	-931
1666898915.978041	1185.114180	-946
1666898915.988029	999.177503	-959
1666898915.998043	810.286759	-971
1666898916.008039	618.178470	-980
1666898916.018048	423.688453	-988
1666898916.028063	226.439662	-994
1666898916.038077	29.337988	-998
1666898916.048206	169.073013	-1000
1666898916.058319	368.146030	-1000
1666898916.082286	834.291814	-999
1666898916.092355	1022.869071	-994
1666898916.102378	1208.094050	-985
1666898916.112417	1388.187914	-975
1666898916.122494	1563.567329	-962
1666898916.132526	1732.256476	-948
1666898916.142564	1893.883752	-932
1666898916.152555	2047.987506	-914
1666898916.162647	2194.811860	-895
1666898916.172707	2332.119954	-874
1666898916.182769	2460.174851	-851
1666898916.192898	2579.631410	-828
