## Values
## High Speed = 5000
## Low Speed = 300
## Acceleration = 600
## Deceleration = 0
## Position = 0
## Idle Time = 1
## Accel/Decel profile = Trapezoidal
## Dwell time = 0.0
## Length = 500
## Cycles = 3


1666364359.548583	0
1666364359.552969	0
1666364359.554725	0
1666364359.568105	0
1666364359.572290	-2
1666364359.576446	-3
1666364359.580537	-5
1666364359.584651	-6
1666364359.588717	-8
1666364359.592769	-10
1666364359.597044	-12
1666364359.601026	-15
1666364359.605284	-17
1666364359.609308	-19
1666364359.613558	-22
1666364359.617686	-25
1666364359.621867	-28
1666364359.625868	-31
1666364359.629990	-34
1666364359.634208	-37
1666364359.638382	-41
1666364359.642462	-44
1666364359.646754	-48
1666364359.650862	-52
1666364359.654932	-56
1666364359.658984	-60
1666364359.663307	-64
1666364359.667397	-69
1666364359.671643	-73
1666364359.675711	-78
1666364359.680031	-83
1666364359.684176	-88
1666364359.688212	-93
1666364359.692325	-98
1666364359.696489	-103
1666364359.700902	-109
1666364359.705082	-115
1666364359.709091	-120
1666364359.713329	-126
1666364359.717422	-132
1666364359.721507	-139
1666364359.725663	-145
1666364359.729842	-151
1666364359.734053	-158
1666364359.738394	-165
1666364359.742427	-172
1666364359.746661	-179
1666364359.751007	-186
1666364359.755002	-193
1666364359.759140	-200
1666364359.763276	-207
1666364359.767555	-214
1666364359.771650	-221
1666364359.775740	-228
1666364359.779979	-235
1666364359.784302	-243
1666364359.788333	-250
1666364359.792461	-257
1666364359.796676	-264
1666364359.800848	-271
1666364359.805164	-278
1666364359.809246	-285
1666364359.813445	-292
1666364359.817735	-299
1666364359.821779	-306
1666364359.825923	-314
1666364359.830189	-321
1666364359.834501	-328
1666364359.838583	-335
1666364359.842717	-341
1666364359.846885	-348
1666364359.851227	-355
1666364359.855355	-361
1666364359.859441	-367
1666364359.863582	-373
1666364359.867858	-379
1666364359.872124	-385
1666364359.876149	-391
1666364359.880294	-396
1666364359.884600	-402
1666364359.888713	-407
1666364359.892926	-412
1666364359.897097	-417
1666364359.901366	-422
1666364359.905468	-427
1666364359.909639	-432
1666364359.913756	-436
1666364359.918106	-440
1666364359.922271	-445
1666364359.926316	-449
1666364359.930597	-452
1666364359.934820	-456
1666364359.939043	-460
1666364359.943175	-463
1666364359.947289	-467
1666364359.951508	-470
1666364359.955834	-473
1666364359.959942	-476
1666364359.964096	-479
1666364359.968322	-481
1666364359.972445	-484
1666364359.976615	-486
1666364359.980823	-489
1666364359.984973	-491
1666364359.989364	-493
1666364359.993335	-495
1666364359.997542	-496
1666364360.001796	-498
1666364360.005967	-499
1666364360.010274	-500
1666364360.012330	-500
1666364360.026052	-499
1666364360.029981	-498
1666364360.034144	-497
1666364360.038305	-495
1666364360.042591	-493
1666364360.046765	-491
1666364360.050959	-489
1666364360.055100	-487
1666364360.059213	-485
1666364360.063478	-482
1666364360.067726	-480
1666364360.071937	-477
1666364360.075988	-474
1666364360.080214	-471
1666364360.084528	-468
1666364360.088692	-465
1666364360.092695	-462
1666364360.096960	-458
1666364360.101189	-454
1666364360.105474	-451
1666364360.109479	-447
1666364360.113749	-443
1666364360.117989	-438
1666364360.122124	-434
1666364360.126276	-429
1666364360.130530	-425
1666364360.134779	-420
1666364360.138908	-415
1666364360.143079	-410
1666364360.147236	-405
1666364360.151524	-400
1666364360.155711	-394
1666364360.159732	-389
1666364360.164025	-383
1666364360.168390	-377
1666364360.172479	-371
1666364360.176550	-365
1666364360.180782	-358
1666364360.184971	-352
1666364360.189153	-345
1666364360.193325	-339
1666364360.197520	-332
1666364360.201779	-325
1666364360.205840	-318
1666364360.210078	-311
1666364360.214177	-304
1666364360.218432	-297
1666364360.222551	-289
1666364360.226695	-282
1666364360.230956	-275
1666364360.235310	-268
1666364360.239357	-261
1666364360.243531	-254
1666364360.247648	-247
1666364360.251903	-240
1666364360.256089	-233
1666364360.260166	-226
1666364360.264363	-218
1666364360.268598	-211
1666364360.272637	-204
1666364360.276865	-197
1666364360.281013	-190
1666364360.285318	-183
1666364360.289447	-176
1666364360.293571	-169
1666364360.297705	-162
1666364360.301999	-155
1666364360.306170	-149
1666364360.310288	-142
1666364360.314411	-136
1666364360.318482	-130
1666364360.322785	-124
1666364360.326907	-118
1666364360.331038	-112
1666364360.335299	-107
1666364360.339406	-101
1666364360.343520	-96
1666364360.347644	-91
1666364360.351888	-86
1666364360.355901	-81
1666364360.360026	-76
1666364360.364151	-71
1666364360.368277	-67
1666364360.372435	-63
1666364360.376562	-58
1666364360.380721	-54
1666364360.385035	-50
1666364360.389086	-46
1666364360.393096	-43
1666364360.397258	-39
1666364360.401464	-36
1666364360.405479	-32
1666364360.409626	-29
1666364360.413775	-26
1666364360.418077	-23
1666364360.422189	-21
1666364360.426204	-18
1666364360.430620	-16
1666364360.434716	-13
1666364360.438665	-11
1666364360.442694	-9
1666364360.446932	-7
1666364360.451063	-5
1666364360.455106	-3
1666364360.459133	-2
1666364360.463461	-1
1666364360.467722	0
1666364360.469572	0
1666364360.471381	0
1666364360.475554	0
1666364360.477631	0
1666364360.491211	-1
1666364360.495285	-2
1666364360.499465	-3
1666364360.503368	-5
1666364360.507507	-7
1666364360.511647	-8
1666364360.515758	-10
1666364360.519899	-12
1666364360.523917	-15
1666364360.528120	-17
1666364360.532334	-20
1666364360.536590	-22
1666364360.540454	-25
1666364360.544674	-28
1666364360.548858	-31
1666364360.552930	-34
1666364360.557060	-38
1666364360.561222	-41
1666364360.565356	-45
1666364360.569422	-48
1666364360.573697	-52
1666364360.577784	-56
1666364360.581987	-60
